Area,Course,Date,Skills,Technology,Stars,Order,Cerificate,Instructor,Company,Theory,Practice,Total,Country
Business,Developing Executive Presence,2015-04-27,Sales,Concepts,,,Yes,John Ullmen,Linkedin,1.5,0,1.5,United States
Data Science,Hadoop Fundamentals ,2015-04-24,Data Management,Spark,,,Yes,Lynn Langit,Linkedin,5,10,15,United States
Information technology,Managing Documents with Sharepoint 2013,2015-04-24,Web Development,Sharepoint,,,Yes,Mark Abdelnour,Linkedin,2,0,2,United States
Information technology,Sharepoint Designer 2013 : Custom Workflows,2015-04-21,Web Development,Sharepoint,,,Yes,Gini Courter,Linkedin,7,0,7,United States
Project Management,Microsoft Project Web Application 2013,2015-04-14,MS Project,Concepts,,,Yes,John Riopel,Linkedin,1.5,0,1.5,United States
Business,Sales Fundamentals,2015-04-14,Sales,Concepts,,,Yes,Jeff Blomfield,Linkedin,1,0,1,United States
Project Management,Managing Technical Teams,2015-04-13,Agile,Concepts,,,Yes,Bob McGannon,Linkedin,1,0,1,United States
Information technology,Sharepoint 2013 New Features,2015-04-13,Web Development,Sharepoint,,,Yes,Gini Courter,Linkedin,2.5,0,2.5,United States
Information technology,Foundation of Teaching with Technology,2015-04-13,Teaching,Concepts,,,Yes,Kevin Kelly,Linkedin,2.5,5,7.5,United States
Business,Speed Reading Fundamentals,2015-03-31,Productivity,Concepts,,,Yes,Paul Nowak,Linkedin,1,0,1,United States
Data Science,Techniques and Concepts of Big Data,2015-03-24,Data Management,Concepts,,,Yes,Barton Poulson,Linkedin,2.5,5,7.5,United States
Business,Google Calendar Essential Training,2015-03-24,Productivity,Google Calendar,,,Yes,Jess Stratton,Linkedin,1.5,3,4.5,United States
Business,Competitive Strategy Fundamentals,2015-03-24,Productivity,Concepts,,,Yes,Anil Gupta,Linkedin,1,0,1,United States
Business,Communication Across Cultures,2015-03-24,Team Building,Concepts,,,Yes,Tatiana Kolovou,Linkedin,0.5,0,0.5,United States
Business,Outlook 2010  Time Management with Calendar and Tasks,2015-03-19,Productivity,Time Management,,,Yes,Gini Courter,Linkedin,2.5,5,7.5,United States
Business,Business Writing Fundamentals,2015-03-19,Concepts,Concepts,,,Yes,Judy SteinerWillians,Linkedin,1.5,0,1.5,United States
Business,Writing Business Reports,2015-03-19,Concepts,Concepts,,,Yes,Judy SteinerWillians,Linkedin,2,0,2,United States
Information technology,Cloud Computing First Look,2015-03-18,Cloud computing,Concepts,,,Yes,David Rivers,Linkedin,1.5,3,4.5,United States
Business,Leading Produtive Meetings,2015-03-18,Productivity,Concepts,,,Yes,Dave Crenshaw,Linkedin,1.5,0,1.5,United States
Business,Pitching Projects and Products to Executives,2015-03-18,Sales,Concepts,,,Yes,Dane Howard,Linkedin,1,0,1,United States
Business,Building Trust,2015-03-13,Team Building,Concepts,,,Yes,Brenda Bailye Hughes,Linkedin,1,0,1,United States
Business,Building an Integrated Online Marketing Plan,2015-03-13,Marketing,Concepts,,,Yes,Matt Bailye,Linkedin,3,0,3,United States
Business,Public Speaking Fundamental,2015-03-13,Marketing,Concepts,,,Yes,Laura Bergells,Linkedin,1,0,1,United States
Business,Millonaire Mind  The Secret Psychology of Wealth,2015-01-11,Finances,Concepts,,,No,T.Harv Eker's,Success Resources,32,0,32,United Kingdown
IT Governance,ITIL Foundation,2015-01-10,Services,ITIL v.3,,,Yes,Mark Thomas,Lynda,8,0,8,United States
Project Management,Transitioning Waterfall to Agile Project Management,2015-01-10,Agile,Concepts,,,Yes,Kelley O'Connel,Linkedin,2,0,2,United States
Information technology,SAP UX  Strategy Workshop,2015-01-10,ERP,SAP,,,No,Blue Stonex  SAP  Germany,BlueStonex,4,8,12,United Kingdown
Information technology,Became an Android  Developer from Scratch,2015-01-10,Coding,Android,,,Yes,Adam Lupo,Udemy,12.5,25,37.5,United Kingdown
Business,The sales Explosion Program,2015-01-10,Sales,Concepts,,,No,Blair Singer,Success Resources,16,0,16,United Kingdown
Project Management,Agile at Work  Building Your Agile Team,2015-01-09,Agile,Concepts,,,Yes,Doug Rose,Linkedin,2,0,2,United States
Data Science,No SQL for SQL Professionals,2015-01-09,Data Management,No SQL,,,Yes,Lynn Langit,Linkedin,4,8,12,United States
Information technology,Up and Running With Java,2015-01-09,Coding,Java,,,Yes,Peggy Fisher,Linkedin,4,8,12,United States
Information technology,Java Essential Training for Students,2015-01-09,Coding,Java,,,Yes,Peggy Fisher,Linkedin,4,8,12,United States
Information technology,Foundation of Cybersecurity,2015-01-09,Security,Concepts,,,Yes,Malcolm Shore,Linkedin,3,6,9,United States
Business,Personal Branding,2015-01-09,Marketing,Concepts,,,Yes,Lorrie Thomas Ross,Linkedin,1,0,1,United States
Information technology,User Experience Fundamentals for Webdesign,2015-01-09,Webdesign,UX/UI,,,Yes,Chris Noder,Linkedin,2,4,6,United States
Business,Fundamentals of logistics,2015-01-09,Productivity,Concepts,,,Yes,Steven Brown,Linkedin,2,0,2,United States
Business,Body Language for Leaders,2015-01-09,Team Building,Concepts,,,Yes,Carol Kinsey Goman,Linkedin,1,0,1,United States
