group,subgroup,subject,tool,language ,course,date,stars,cerificate,instructor,company,theory,practice,total,country
Information Technology,Network,Cloud,AWS,,Amazon webservices Data Services,2016-01-04,5,Yes,Lynn Langit,Linkedin,5,10,15,United States
Information Technology,Network,Cloud,AZURE,,Understanding Microsoft Azure Core Functionalities,2016-01-05,5,Yes,David Rivers,Linkedin,3,6,9,United States
Information Technology,Network,Cloud,Containers,,Containers,2021-07-30,5,Yes,Bret Fisher,Udemy,20,30,50,United States
Information Technology,Network,Cloud,Google Cloud,,Google Cloud Plataform Essential Training,2016-01-10,5,Yes,Lynn Langit,Linkedin,4,8,12,United States
Information Technology,Network,Cloud,VPN,,CCNA Security 210-216 all about VPN,2022-06-22,5,No,Chris Briant,Udemy,1,0,1,United States
Information Technology,Network,Cloud,,,Introduction to Networking for complete beginners,2022-06-21,5,No,Marious Kuriata,Udemy,2,0,2,United Kingdown
Information Technology,Network,Cloud,Google Cloud,,Google Cloud Plataform Master Class - All 4GCP Certifications,2022-05-30,5,Yes,Anshul,Udemy,31,20,51,United Kingdown
Information Technology,Network,Cloud,,,Cloud Computing First Look,2015-03-18,5,Yes,David Rivers,Linkedin,2,3,5,United States
Information Technology,Network,Cloud,,,Cybersecurity with Cloud Computing,2015-01-05,5,Yes,Malcolm Shore,Linkedin,3,6,9,United States
Information Technology,Network,Machine Learning,AWS,,Ultimate AWS Machine Learning Specialty 2020,2020-01-01,5,Yes,Stephane Maarek & Frank Kane,Udemy,9,18,27,United States
Information Technology,Network,Machine Learning,AWS,,AWS Machine Learning AI SageMaker with python,2018-01-07,5,Yes,Chandra Lingam,Udemy,6,3,9,United Kingdown
Information Technology,Operational System,Linux,,,Linux  Shell Scripst: how to automate command line,2018-10-04,5,Yes,Jason Cannon,Linkedin,6,11,17,United States
Information Technology,Operational System,Linux,,,Linux,2018-01-04,5,Yes,Jason Cannon,Linkedin,13,25,38,United States
Information Technology,Operational System,Linux,,,Up and Running with CentOS,2016-01-11,5,Yes,Scott Simpson,Linkedin,2,4,6,United States
Information Technology,Operational System,Windows,,,Windows 10  New Futures,2015-01-07,5,Yes,Garrick Chow,Linkedin,2,4,6,United States
Information Technology,Quality,CMMI,,,Reviews and Test,2012-12-18,5,Yes,PM Practice,Wipro Technologies,16,32,48,India
Information Technology,Quality,CMMI,,,Software Configuration Management,2012-12-18,5,Yes,PM Practice,Wipro Technologies,16,32,48,India
Information Technology,Quality,CMMI,,,CMMI Hight Maturity,2012-10-29,5,Yes,PM Practice,Wipro Technologies,16,32,48,India
Information Technology,Quality,CMMI,,,CMMI Applied,2007-01-01,5,No,,HP Consulting,8,16,24,Brasil
Information Technology,Quality,CMMI,,,Introduction to CMMI,2007-01-01,5,No,,HP Consulting,8,16,24,Brasil
Information Technology,Quality,VelociQ,,,VelociQ 101  An Introduction to Quality at Wipro,2012-12-18,5,Yes,PM Practice,Wipro Technologies,16,32,48,India
Information Technology,Quality,VelociQ,,,VelociQ 201,2012-12-18,5,Yes,PM Practice,Wipro Technologies,16,32,48,India
Information Technology,Artificial Inteligence,Machine Learning,Language,Qiskit,QC101 Quantum Computing and Intro to Quantum Machine Learning,2024-02-12,5,Yes,Kumarasan Paranathan,Udemy,12,12,48,United Kingdowm
Information Technology,Security,Cloud,AWS,,AWS Certified Security Specialty,2021-10-24,5,Yes,Chandra Lingan,Udemy,18,18,36,United Kingdown
Information Technology,Security,Criptography,,,Understanding SSH,2015-01-08,5,Yes,Scott Simpson,Linkedin,1,2,3,United States
Information Technology,Security,Criptography,,,Essentials of Cryptography and Network Security,2015-01-07,5,Yes,Lisa Bock,Linkedin,2,4,6,United States
Information Technology,Security,Ethical Hacking,,,Website Hacking Penetration Test & Bug Bounty Hunting,2022-03-31,5,Yes,Zaid Sabih,Udemy,11,11,22,United Kingdown
Information Technology,Security,Ethical Hacking,,,Complete Ethical Hacking Bootcamp 2022,2022-03-27,5,Yes,Andrei Neagoei,Udemy,28,28,56,United Kingdown
Information Technology,Security,Ethical Hacking,,,Learn Python and Ethical Hack from Scratch,2022-03-27,5,Yes,Zaid Sabih,Udemy,25,25,50,United Kingdown
Information Technology,Security,Ethical Hacking,,,Learn Social Engineering from Scratch,2022-03-27,5,Yes,Zaid Sabih,Udemy,13,13,26,United Kingdown
Information Technology,Security,Ethical Hacking,,,Learn Ethical Hacking from Scratch,2022-01-23,5,Yes,Zaid Sabih,Udemy,16,16,32,United Kingdown
Information Technology,Security,Ethical Hacking,,,The Ultimate Dark Web Anonimity Privacy and Security Course,2022-01-02,5,Yes,Zaid Sabih,Udemy,11,11,22,United Kingdown
Information Technology,Security,Concepts,,,Information Security & Privacy Training Course,2021-08-02,5,Yes,,Johnson&Johnson,1,0,1,United Kingdown
Information Technology,Security,Concepts,,,Foundation of IT Security: Core concepts,2016-01-11,5,Yes,Lisa Bock,Linkedin,2,4,6,United States
Information Technology,Security,Concepts,,,Foundations of IT Security:Operation System Security,2016-01-11,5,Yes,Lisa Bock,Linkedin,1,2,3,United States
Information Technology,Security,Concepts,,,Foundation of Cybersecurity,2015-01-09,5,Yes,Malcolm Shore,Linkedin,3,6,9,United States
Information Technology,Security,Ethical Hacking,,,Growth Hacking Fundamentals,2015-01-08,5,Yes,Brad Batesol,Linkedin,2,4,6,United States
Information Technology,Network,Data,AWS,,Data Lake Mastery: The Key to Big Data & Data Engineering,2024-02-25,5,Yes,Nikolai Schuler,Udemy,10,0,10,United Kngdown
Information Technology,Software Development,UML,,,UML Boot Camp: Master Unified Modeling Language,2024-02-20,5,Yes,Rami Ibrahin,Udemy,2,8,10,United kingdown
Information Technology,Software Development,ERP/CRM,Broadvision,Java,BroadVision Server Side Scripting ,2003-01-06,5,No,,BroadVision,16,32,48,Brasil
Information Technology,Software Deployment,ERP/CRM,Broadvision,,BroadVision System Administration ,2003-01-06,5,No,,BroadVision,16,32,48,Brasil
Information Technology,Software Deployment,ERP/CRM,Broadvision,,BroadVision Performance Analysis,2003-01-01,5,No,,BroadVision,16,32,48,Brasil
Information Technology,Software Deployment,ERP/CRM,Microsoft Dynamics,,Microsoft Dynamics 365 mini workshop,2018-03-20,5,Yes,Helen Jones,Udemy,1,0,1,United Kingdown
Information Technology,Software Deployment,ERP/CRM,Salesforce,,Learn Salesforce in easy  steps and get certified,2018-08-31,5,Yes,Samata Shag,Udemy,4,4,8,United Kingdown
Information Technology,Software Deployment,ERP/CRM,Salesforce,,Salesforce Sales Cloud Consultant Cerification Course,2018-08-29,5,Yes,Mike Wheeler,Udemy,11,11,22,United Kingdown
Information Technology,Software Deployment,ERP/CRM,Salesforce,,Business Manager`s complete guide to Salesforce CRM,2018-08-26,5,Yes,John Wiley,Udemy,10,10,20,United Kingdown
Information Technology,Software Deployment,ERP/CRM,SAP,,SAP S/4HANA Finance & Controling - Configuration and End User,2024-12-22,5,Yes,Hana W. Mehmood,Udemy,55,30,85,United Kngdown
Information Technology,Software Deployment,ERP/CRM,SAP,,Introduction to SAP Business One,2018-01-07,5,Yes,Sara Araby,Udemy,7,0,7,United States
Information Technology,Software Deployment,ERP/CRM,SAP,,SAP HANNA Implementation Modeling and Reporting,2018-01-07,5,Yes,Junaid Ahmed,Udemy,25,0,25,United States
Information Technology,Software Deployment,ERP/CRM,SAP,,SAP BI   Business Inteligence,2011-01-11,5,No,,KPS Global,40,80,120,United Kingdown
Information Technology,Software Deployment,ERP/CRM,SAP,,SAP Advanced Business Application Programming (ABAP),1999-01-10,5,Yes,,Softtek,40,80,120,Brasil
Information Technology,Software Deployment,Language,Android,,Became an Android  Developer from Scratch,2015-01-10,5,Yes,Adam Lupo,Udemy,13,25,38,United Kingdown
Information Technology,Software Deployment,ERP/CRM,SAP,,SAP UX  Strategy Workshop,2015-01-10,5,No,Blue Stonex  SAP  Germany,BlueStonex,4,8,12,United Kingdown
Information Technology,Software Deployment,Web Site,Sharepoint,,Sharepoint Server 2013 Essential Training,2015-11-05,5,Yes,Gini Courter,Linkedin,10,0,10,United States
Information Technology,Software Deployment,Web Site,Sharepoint,,Managing Documents with Sharepoint 2013,2015-04-24,5,Yes,Mark Abdelnour,Linkedin,2,0,2,United States
Information Technology,Software Deployment,Web Site,Sharepoint,,Sharepoint Designer 2013 : Custom Workflows,2015-04-21,5,Yes,Gini Courter,Linkedin,7,0,7,United States
Information Technology,Software Deployment,Web Site,Sharepoint,,Sharepoint 2013 New Features,2015-04-13,5,Yes,Gini Courter,Linkedin,3,0,3,United States
Information Technology,Software Development,Analytics  ,Language,R,Working with Geospatial Data in R,2013-09-15,5,Yes,Charlotte Wickham,Data Camp,4,8,12,Belgium
